Ky,Ngay,Time,Main,Special,DisplayLines,Label,SourceUrl,SourceDate
1275,29/11/2025,,"4,20,24,27,40,48",9,04 20 24 27 40 48 | ĐB 09,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-29-11-2025.html,29/11/2025
1274,27/11/2025,,"4,5,10,11,28,35",38,04 05 10 11 28 35 | ĐB 38,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-27-11-2025.html,27/11/2025
1273,25/11/2025,,"23,31,32,42,46,48",4,23 31 32 42 46 48 | ĐB 04,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-25-11-2025.html,25/11/2025
1272,22/11/2025,,"8,10,19,29,34,46",14,08 10 19 29 34 46 | ĐB 14,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-22-11-2025.html,22/11/2025
1271,20/11/2025,,"3,12,19,20,31,42",13,03 12 19 20 31 42 | ĐB 13,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-20-11-2025.html,20/11/2025
1270,18/11/2025,,"7,12,18,22,30,49",5,07 12 18 22 30 49 | ĐB 05,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-18-11-2025.html,18/11/2025
1269,15/11/2025,,"2,30,33,35,42,54",45,02 30 33 35 42 54 | ĐB 45,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-15-11-2025.html,15/11/2025
1268,13/11/2025,,"1,15,30,38,40,43",13,01 15 30 38 40 43 | ĐB 13,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-13-11-2025.html,13/11/2025
1267,11/11/2025,,"11,20,28,41,47,54",31,11 20 28 41 47 54 | ĐB 31,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-11-11-2025.html,11/11/2025
1266,08/11/2025,,"14,16,19,22,27,44",18,14 16 19 22 27 44 | ĐB 18,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-08-11-2025.html,08/11/2025
1265,06/11/2025,,"16,20,29,33,36,49",6,16 20 29 33 36 49 | ĐB 06,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-06-11-2025.html,06/11/2025
1264,04/11/2025,,"15,27,29,31,36,43",38,15 27 29 31 36 43 | ĐB 38,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-04-11-2025.html,04/11/2025
1263,01/11/2025,,"7,11,28,29,31,33",8,07 11 28 29 31 33 | ĐB 08,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-01-11-2025.html,01/11/2025
1262,30/10/2025,,"20,23,35,41,47,55",37,20 23 35 41 47 55 | ĐB 37,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-30-10-2025.html,30/10/2025
1261,28/10/2025,,"6,8,10,22,25,54",9,06 08 10 22 25 54 | ĐB 09,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-28-10-2025.html,28/10/2025
1260,25/10/2025,,"3,5,11,13,24,27",45,03 05 11 13 24 27 | ĐB 45,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-25-10-2025.html,25/10/2025
1259,23/10/2025,,"8,10,21,48,49,50",40,08 10 21 48 49 50 | ĐB 40,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-23-10-2025.html,23/10/2025
1258,21/10/2025,,"3,11,12,14,22,40",41,03 11 12 14 22 40 | ĐB 41,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-21-10-2025.html,21/10/2025
1257,18/10/2025,,"5,16,19,21,38,43",50,05 16 19 21 38 43 | ĐB 50,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-18-10-2025.html,18/10/2025
1256,16/10/2025,,"14,15,24,26,27,45",36,14 15 24 26 27 45 | ĐB 36,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-16-10-2025.html,16/10/2025
1255,14/10/2025,,"8,9,16,26,37,55",12,08 09 16 26 37 55 | ĐB 12,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-14-10-2025.html,14/10/2025
1254,11/10/2025,,"3,7,26,43,44,46",25,03 07 26 43 44 46 | ĐB 25,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-11-10-2025.html,11/10/2025
1253,09/10/2025,,"7,11,21,22,39,42",40,07 11 21 22 39 42 | ĐB 40,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-09-10-2025.html,09/10/2025
1252,07/10/2025,,"19,22,35,37,43,45",29,19 22 35 37 43 45 | ĐB 29,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-07-10-2025.html,07/10/2025
1251,04/10/2025,,"22,33,35,36,38,40",7,22 33 35 36 38 40 | ĐB 07,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-04-10-2025.html,04/10/2025
1250,02/10/2025,,"1,2,20,24,27,42",43,01 02 20 24 27 42 | ĐB 43,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-02-10-2025.html,02/10/2025
1249,30/09/2025,,"17,23,34,39,46,52",8,17 23 34 39 46 52 | ĐB 08,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-30-09-2025.html,30/09/2025
1248,27/09/2025,,"8,13,19,24,39,46",1,08 13 19 24 39 46 | ĐB 01,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-27-09-2025.html,27/09/2025
1247,25/09/2025,,"5,17,30,31,38,53",8,05 17 30 31 38 53 | ĐB 08,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-25-09-2025.html,25/09/2025
1246,23/09/2025,,"8,18,19,34,41,46",38,08 18 19 34 41 46 | ĐB 38,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-23-09-2025.html,23/09/2025
1245,20/09/2025,,"8,13,14,19,36,43",30,08 13 14 19 36 43 | ĐB 30,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-20-09-2025.html,20/09/2025
1244,18/09/2025,,"2,3,8,27,38,55",20,02 03 08 27 38 55 | ĐB 20,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-18-09-2025.html,18/09/2025
1243,16/09/2025,,"17,19,28,39,43,53",33,17 19 28 39 43 53 | ĐB 33,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-16-09-2025.html,16/09/2025
