rank,number,frequencyCount,recentCount,currentDelay,F_i,D_i,T_i,C_i,Score_i
708,541,15,0,43,0.014111,0.085657,0.130561,0.146667,0.089867
709,371,20,0,45,0.018815,0.089641,0.107247,0.17,0.089747
710,280,20,0,50,0.018815,0.099602,0.107247,0.16,0.089739
711,927,25,0,76,0.023518,0.151394,0.083932,0.136,0.089714
712,265,25,0,84,0.023518,0.167331,0.083932,0.12,0.089701
713,015,19,0,48,0.017874,0.095618,0.11191,0.157895,0.089638
714,616,19,0,53,0.017874,0.105578,0.11191,0.147368,0.089524
715,732,21,0,51,0.019755,0.101594,0.102584,0.161905,0.089402
716,451,20,0,64,0.018815,0.12749,0.107247,0.13,0.089316
717,862,17,0,38,0.015992,0.075697,0.121236,0.164706,0.089249
718,428,23,0,72,0.021637,0.143426,0.093258,0.130435,0.089241
719,381,19,0,47,0.017874,0.093625,0.11191,0.157895,0.089239
720,889,19,0,47,0.017874,0.093625,0.11191,0.157895,0.089239
721,678,22,0,66,0.020696,0.131474,0.097921,0.136364,0.089153
722,909,21,0,55,0.019755,0.109562,0.102584,0.152381,0.08909
723,943,18,0,39,0.016933,0.077689,0.116573,0.166667,0.088923
724,192,29,0,84,0.027281,0.167331,0.065281,0.137931,0.088821
725,958,14,0,25,0.01317,0.049801,0.135224,0.171429,0.088764
726,095,18,0,33,0.016933,0.065737,0.116573,0.177778,0.088755
727,875,22,0,60,0.020696,0.119522,0.097921,0.145455,0.08858
728,631,19,0,40,0.017874,0.079681,0.11191,0.168421,0.088556
729,333,20,0,52,0.018815,0.103586,0.107247,0.15,0.088536
730,535,15,0,26,0.014111,0.051793,0.130561,0.173333,0.088427
731,871,21,0,58,0.019755,0.115538,0.102584,0.142857,0.088381
732,830,18,0,32,0.016933,0.063745,0.116573,0.177778,0.088356
733,007,16,0,40,0.015052,0.079681,0.125899,0.15,0.088221
734,570,21,0,48,0.019755,0.095618,0.102584,0.161905,0.088206
735,305,22,0,59,0.020696,0.11753,0.097921,0.145455,0.088182
736,652,22,0,54,0.020696,0.10757,0.097921,0.154545,0.088008
737,356,22,0,63,0.020696,0.125498,0.097921,0.136364,0.087958
738,804,21,0,47,0.019755,0.093625,0.102584,0.161905,0.087808
739,773,22,0,58,0.020696,0.115538,0.097921,0.145455,0.087784
740,144,37,0,116,0.034807,0.231076,0.027977,0.113514,0.087753
741,511,20,0,50,0.018815,0.099602,0.107247,0.15,0.087739
742,019,23,0,55,0.021637,0.109562,0.093258,0.156522,0.087685
743,348,24,0,61,0.022578,0.121514,0.088595,0.15,0.087655
744,986,17,0,34,0.015992,0.067729,0.121236,0.164706,0.087655
745,835,21,0,56,0.019755,0.111554,0.102584,0.142857,0.087584
746,068,24,0,65,0.022578,0.129482,0.088595,0.141667,0.087582
747,912,23,0,59,0.021637,0.11753,0.093258,0.147826,0.08754
748,934,21,0,51,0.019755,0.101594,0.102584,0.152381,0.087497
749,679,20,0,39,0.018815,0.077689,0.107247,0.17,0.087356
750,339,18,0,35,0.016933,0.069721,0.116573,0.166667,0.087329
751,204,29,0,94,0.027281,0.187251,0.065281,0.110345,0.087288
752,757,22,0,29,0.020696,0.057769,0.097921,0.2,0.087139
753,062,17,0,56,0.015992,0.111554,0.121236,0.117647,0.087009
754,249,24,0,55,0.022578,0.109562,0.088595,0.158333,0.086931
755,687,16,0,43,0.015052,0.085657,0.125899,0.1375,0.086917
756,098,17,0,38,0.015992,0.075697,0.121236,0.152941,0.086896
757,013,17,0,26,0.015992,0.051793,0.121236,0.176471,0.086821
758,993,26,0,74,0.024459,0.14741,0.079269,0.130769,0.086754
759,384,23,0,57,0.021637,0.113546,0.093258,0.147826,0.086743
760,330,22,0,46,0.020696,0.091633,0.097921,0.163636,0.086639
761,608,21,0,44,0.019755,0.087649,0.102584,0.161905,0.086613
762,969,20,0,47,0.018815,0.093625,0.107247,0.15,0.086544
763,796,24,0,58,0.022578,0.115538,0.088595,0.15,0.086459
764,638,19,0,40,0.017874,0.079681,0.11191,0.157895,0.08645
765,815,19,0,40,0.017874,0.079681,0.11191,0.157895,0.08645
766,894,18,0,27,0.016933,0.053785,0.116573,0.177778,0.086364
767,453,23,0,60,0.021637,0.119522,0.093258,0.13913,0.086199
768,438,21,0,52,0.019755,0.103586,0.102584,0.142857,0.08599
769,723,21,0,42,0.019755,0.083665,0.102584,0.161905,0.085816
770,002,23,0,59,0.021637,0.11753,0.093258,0.13913,0.085801
771,542,26,0,79,0.024459,0.157371,0.079269,0.115385,0.08567
772,320,19,0,38,0.017874,0.075697,0.11191,0.157895,0.085654
773,342,27,0,69,0.0254,0.13745,0.074607,0.140741,0.08564
774,490,19,0,32,0.017874,0.063745,0.11191,0.168421,0.085368
775,469,20,0,34,0.018815,0.067729,0.107247,0.17,0.085364
776,604,24,0,55,0.022578,0.109562,0.088595,0.15,0.085264
777,301,18,0,24,0.016933,0.047809,0.116573,0.177778,0.085169
778,779,18,0,24,0.016933,0.047809,0.116573,0.177778,0.085169
779,660,18,0,35,0.016933,0.069721,0.116573,0.155556,0.085107
780,360,21,0,40,0.019755,0.079681,0.102584,0.161905,0.085019
781,722,21,0,40,0.019755,0.079681,0.102584,0.161905,0.085019
782,502,22,0,51,0.020696,0.101594,0.097921,0.145455,0.084995
783,670,19,0,31,0.017874,0.061753,0.11191,0.168421,0.08497
784,024,21,0,44,0.019755,0.087649,0.102584,0.152381,0.084708
