rank,number,frequencyCount,recentCount,currentDelay,F_i,D_i,T_i,C_i,Score_i
505,297,21,1,21,0.029703,0.07047,0.268024,0.142857,0.131983
506,588,10,0,77,0.014144,0.258389,0.12016,0.2,0.131969
507,380,18,0,107,0.02546,0.35906,0.056075,0.177778,0.131828
508,077,9,0,67,0.01273,0.224832,0.128171,0.222222,0.131681
509,197,17,1,2,0.024045,0.006711,0.300067,0.164706,0.131517
510,399,17,1,2,0.024045,0.006711,0.300067,0.164706,0.131517
511,172,12,0,92,0.016973,0.308725,0.104139,0.166667,0.131412
512,402,12,0,87,0.016973,0.291946,0.104139,0.183333,0.13139
513,561,18,1,4,0.02546,0.013423,0.292056,0.166667,0.131273
514,114,14,0,100,0.019802,0.33557,0.088117,0.157143,0.130919
515,082,13,0,98,0.018388,0.328859,0.096128,0.153846,0.130896
516,760,15,0,94,0.021216,0.315436,0.080107,0.186667,0.130818
517,086,19,1,15,0.026874,0.050336,0.284045,0.136842,0.130711
518,249,20,1,11,0.028289,0.036913,0.276035,0.16,0.13068
519,042,12,0,76,0.016973,0.255034,0.104139,0.216667,0.130674
520,116,21,1,19,0.029703,0.063758,0.268024,0.142857,0.130641
521,745,10,0,75,0.014144,0.251678,0.12016,0.2,0.130627
522,576,14,0,91,0.019802,0.305369,0.088117,0.185714,0.130593
523,882,15,1,0,0.021216,0.0,0.316088,0.146667,0.130525
524,849,21,1,13,0.029703,0.043624,0.268024,0.161905,0.130424
525,436,19,1,8,0.026874,0.026846,0.284045,0.157895,0.130224
526,047,15,0,97,0.021216,0.325503,0.080107,0.173333,0.130164
527,100,11,0,61,0.015559,0.204698,0.11215,0.254545,0.130161
528,553,19,1,11,0.026874,0.036913,0.284045,0.147368,0.130132
529,128,15,0,85,0.021216,0.285235,0.080107,0.213333,0.130111
530,346,20,1,7,0.028289,0.02349,0.276035,0.17,0.129995
531,078,17,1,3,0.024045,0.010067,0.300067,0.152941,0.129835
532,406,17,1,3,0.024045,0.010067,0.300067,0.152941,0.129835
533,917,17,1,3,0.024045,0.010067,0.300067,0.152941,0.129835
534,138,16,1,8,0.022631,0.026846,0.308077,0.125,0.129582
535,356,19,1,7,0.026874,0.02349,0.284045,0.157895,0.129553
536,502,19,1,7,0.026874,0.02349,0.284045,0.157895,0.129553
537,779,17,1,6,0.024045,0.020134,0.300067,0.141176,0.129496
538,847,8,0,45,0.011315,0.151007,0.136182,0.275,0.12945
539,771,13,0,82,0.018388,0.275168,0.096128,0.2,0.129388
540,623,22,1,22,0.031117,0.073826,0.260013,0.136364,0.129377
541,790,20,1,9,0.028289,0.030201,0.276035,0.16,0.129337
542,829,21,1,17,0.029703,0.057047,0.268024,0.142857,0.129299
543,241,16,1,0,0.022631,0.0,0.308077,0.15,0.129212
544,933,13,0,95,0.018388,0.318792,0.096128,0.153846,0.128882
545,694,18,1,7,0.02546,0.02349,0.292056,0.144444,0.128842
546,895,18,1,7,0.02546,0.02349,0.292056,0.144444,0.128842
547,425,15,0,95,0.021216,0.318792,0.080107,0.173333,0.128822
548,773,12,0,88,0.016973,0.295302,0.104139,0.166667,0.128727
549,003,16,0,101,0.022631,0.338926,0.072096,0.1625,0.128703
550,940,18,1,0,0.02546,0.0,0.292056,0.166667,0.128588
551,529,11,0,80,0.015559,0.268456,0.11215,0.181818,0.128367
552,876,9,0,62,0.01273,0.208054,0.128171,0.222222,0.128325
553,255,11,0,69,0.015559,0.231544,0.11215,0.218182,0.128258
554,641,18,1,16,0.02546,0.053691,0.292056,0.111111,0.128215
555,177,13,0,94,0.018388,0.315436,0.096128,0.153846,0.128211
556,118,18,1,6,0.02546,0.020134,0.292056,0.144444,0.12817
557,463,15,0,94,0.021216,0.315436,0.080107,0.173333,0.128151
558,526,12,0,82,0.016973,0.275168,0.104139,0.183333,0.128034
559,714,12,0,77,0.016973,0.258389,0.104139,0.2,0.128011
560,189,10,0,65,0.014144,0.218121,0.12016,0.22,0.127916
561,229,14,0,87,0.019802,0.291946,0.088117,0.185714,0.127908
562,858,17,1,0,0.024045,0.0,0.300067,0.152941,0.127822
563,309,14,0,95,0.019802,0.318792,0.088117,0.157143,0.127563
564,647,7,0,36,0.009901,0.120805,0.144192,0.285714,0.127532
565,503,17,1,3,0.024045,0.010067,0.300067,0.141176,0.127482
566,550,20,1,15,0.028289,0.050336,0.276035,0.13,0.127364
567,480,22,1,16,0.031117,0.053691,0.260013,0.145455,0.127168
568,862,8,0,49,0.011315,0.16443,0.136182,0.25,0.127135
569,070,11,0,78,0.015559,0.261745,0.11215,0.181818,0.127025
570,885,13,0,78,0.018388,0.261745,0.096128,0.2,0.126704
571,660,12,0,80,0.016973,0.268456,0.104139,0.183333,0.126692
572,367,20,1,8,0.028289,0.026846,0.276035,0.15,0.126666
573,602,13,0,87,0.018388,0.291946,0.096128,0.169231,0.12659
574,129,17,0,100,0.024045,0.33557,0.064085,0.164706,0.126494
575,199,20,0,113,0.028289,0.379195,0.040053,0.15,0.126342
